Unnamed: 0,ID,label_odm,train_val_predict,src,URL
0,12347,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/349_0003CR0D.png
1,12340,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/357_0002CR0D.png
2,12338,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/361_0002CR0D.png
3,12334,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/369_0002CR0D.png
4,12319,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/391_0002CR0D.png
5,12310,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/402_0002CR0D.png
6,12308,macula,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/404_0003CL0D.png
7,12305,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/407_0004CL0D.png
8,12300,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/412_0002CR0D.png
9,12296,macula,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/419_0001CR0D.png
10,12287,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/431_0004CL0D.png
11,12258,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/465_0004CL0D.png
12,12257,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/466_0007CL0D.png
13,12251,macula,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/473_0003CL0D.png
14,12249,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/476_0004CL0D.png
15,12232,macula,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/497_0001CR0D.png
16,12221,macula,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/510_0001CR0D.png
17,12220,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/511_0002CR0D.png
18,12218,macula,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/514_0001CR0D.png
19,12216,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/516_0005CL0D.png
20,12215,macula,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/517_0004CL0D.png
21,12214,macula,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/518_0001CR0D.png
22,12213,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/519_0002CR0D.png
23,12211,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/522_0004CL0D.png
24,12210,macula,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/523_0003CL0D.png
25,12209,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/525_0002CR0D.png
26,12208,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/526_0004CL0D.png
27,12207,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/527_0003CL0D.png
28,12206,macula,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/528_0001CR0D.png
29,12205,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/529_0002CR0D.png
30,12204,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/530_0004CL0D.png
31,12203,macula,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/531_0003CL0D.png
32,12202,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/533_0002CR0D.png
33,12198,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/538_0001CR0D.png
34,12199,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/537_0007CL0D.png
35,12197,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/539_0003CR0D.png
36,12196,od,val,EYESCAN,http://192.168.0.21:8080/data/local-files/?d=EYESCAN/541_0004CL0D.png
